-8,8,-20,b
-10,12,-19,b
19,20,0,b
19,20,1,b
20,20,1,b
19,20,2,b
20,20,2,b
19,20,2,b
19,20,4,b
20,20,4,b
20,20,2,b
20,20,2,b
21,21,4,b
20,21,3,b
20,21,2,b
19,21,4,b
21,21,4,b
21,21,4,b
21,21,4,b
21,21,5,b
21,21,4,b
21,21,4,b
21,22,5,b
21,22,5,b
22,21,5,b
22,21,5,b
22,21,5,b
22,21,5,b
21,21,4,b
22,21,6,b
22,20,5,b
22,20,4,b
22,21,4,b
22,21,5,b
22,21,4,b
22,21,4,b
22,20,5,b
22,20,5,b
22,20,4,b
22,20,4,b
21,20,4,b
21,19,4,b
21,19,2,b
20,18,2,b
20,18,1,b
20,18,1,b
21,19,1,b
20,19,2,b
20,19,1,b
19,19,1,b
19,19,1,b
19,19,1,b
19,18,1,b
20,19,4,b
20,19,3,b
20,19,4,b
20,19,4,b
21,19,5,b
20,19,5,b
20,19,5,b
20,19,5,b
20,19,3,b
20,19,3,b
20,19,3,b
20,19,3,b
20,18,3,b
21,19,3,b
19,19,4,b
20,20,4,b
20,19,3,b
19,19,3,b
20,19,4,b
20,19,4,b
20,19,4,b
20,18,4,b
20,19,5,b
21,19,5,b
21,19,4,b
21,19,3,b
20,19,3,b
21,19,3,b
20,19,3,b
20,19,3,b
20,19,3,b
20,19,4,b
20,19,4,b
21,19,4,b
21,19,4,b
21,19,3,b
20,19,3,b
20,19,4,b
20,19,4,b
20,18,4,b
20,18,4,b
20,18,4,b
20,18,4,b
20,18,4,b
21,18,3,b
19,19,3,b
20,19,3,b
20,19,3,b
20,18,3,b
19,18,3,b
19,18,4,b
20,18,3,b
19,18,3,b
19,18,3,b
20,18,3,b
19,19,3,b
19,19,3,b
19,19,3,b
19,19,3,b
19,19,3,b
19,19,4,b
20,19,4,b
19,18,4,b
19,18,4,b
19,19,3,b
19,18,3,b
18,18,2,b
18,18,3,b
18,18,3,b
19,18,3,b
19,18,3,b
19,18,2,b
19,18,3,b
19,18,3,b
19,19,3,b
19,18,3,b
18,18,3,b
18,18,4,b
18,18,3,b
18,18,3,b
18,18,3,b
18,18,3,b
18,18,2,b
18,18,2,b
18,18,2,b
18,18,3,b
18,18,2,b
18,18,2,b
18,17,2,b
18,18,3,b
18,18,2,b
18,18,2,b
18,18,1,b
18,17,1,b
18,17,2,b
18,17,2,b
17,17,2,b
17,17,2,b
17,17,2,b
17,17,1,b
17,17,1,b
17,17,1,b
17,17,1,b
17,17,2,b
17,17,2,b
17,17,1,b
17,17,1,b
17,17,1,b
17,17,2,b
17,17,1,b
17,17,1,b
17,17,1,b
17,17,1,b
16,17,1,b
17,17,1,b
17,17,2,b
16,17,0,b
16,16,1,b
16,17,0,b
16,17,0,b
16,17,1,b
16,17,1,b
16,17,2,b
16,17,0,b
17,17,1,b
16,17,2,b
16,17,2,b
16,16,1,b
16,17,1,b
16,17,1,b
16,17,1,b
16,17,0,b
16,17,0,b
16,17,1,b
16,17,0,b
16,17,0,b
16,17,-2,b
16,17,-2,b
15,17,-1,b
16,17,-1,b
16,17,-1,b
16,17,-1,b
16,18,-2,b
15,18,-3,b
16,18,-2,b
16,17,-2,b
15,17,-2,b
15,17,-2,b
15,17,-2,b
15,17,-3,b
15,17,-3,b
15,18,-3,b
15,17,-3,b
15,17,-3,b
15,17,-4,b
15,17,-4,b
15,17,-3,b
15,17,-3,b
15,17,-4,b
15,17,-4,b
15,17,-4,b
15,17,-4,b
15,17,-3,b
15,17,-4,b
15,17,-4,b
15,17,-4,b
15,18,-4,b
15,18,-3,b
15,17,-5,b
15,17,-4,b
15,17,-4,b
16,17,-3,b
16,18,-3,b
15,18,-3,b
15,17,-4,b
15,18,-4,b
15,18,-3,b
15,17,-4,b
16,18,-2,b
16,18,-3,b
15,17,-3,b
16,17,-4,b
15,17,-4,b
15,17,-3,b
15,18,-4,b
16,17,-3,b
16,17,-3,b
16,17,-3,b
16,17,-3,b
16,17,-3,b
16,17,-3,b
16,17,-4,b
16,17,-4,b
16,17,-3,b
16,18,-3,b
16,18,-3,b
16,18,-4,b
16,17,-4,b
16,17,-4,b
16,17,-3,b
16,17,-3,b
16,17,-4,b
16,17,-3,b
16,17,-2,b
16,18,-2,b
16,18,-3,b
16,17,-3,b
16,17,-4,b
15,17,-4,b
15,17,-3,b
15,17,-4,b
16,17,-4,b
15,17,-3,b
16,17,-2,b
16,18,-2,b
16,18,-2,b
16,18,-3,b
16,17,-3,b
16,17,-3,b
16,17,-3,b
16,17,-3,b
16,18,-1,b
16,18,-1,b
16,18,-1,b
16,18,-1,b
16,18,-1,b
16,18,-2,b
16,18,-3,b
16,18,-3,b
15,18,-1,b
16,18,-2,b
17,18,-3,b
17,19,-2,b
16,19,-2,b
16,17,-3,b
16,18,-3,b
16,18,-3,b
16,18,-2,b
16,18,-2,b
16,18,-2,b
16,19,-2,b
17,19,-2,b
17,18,-2,b
17,19,-2,b
17,19,-2,b
17,18,-2,b
16,19,-2,b
16,18,-2,b
17,18,-3,b
17,18,-3,b
17,18,-3,b
17,18,-3,b
16,18,-3,b
16,17,-2,b
16,18,-3,b
16,17,-4,b
16,17,-4,b
16,17,-3,b
16,17,-3,b
16,17,-2,b
16,18,-2,b
16,18,-3,b
16,18,-3,b
16,18,-4,b
16,18,-4,b
16,18,-3,b
16,18,-3,b
16,18,-4,b
16,18,-3,b
16,18,-4,b|

16,18,-4,a
20,18,9,a
24,20,11,a
24,20,11,a
24,20,11,a
24,20,12,a
24,20,11,a
23,20,11,a
24,20,12,a
24,20,12,a
24,21,12,a
23,20,12,a
24,20,12,a
24,19,12,a
24,19,12,a
24,20,12,a
24,20,12,a
24,20,11,a
24,20,11,a
24,20,12,a
23,20,12,a
24,20,12,a
24,20,11,a
24,20,11,a
24,20,11,a
23,20,11,a
24,20,11,a
24,20,11,a
24,20,12,a
24,20,12,a
24,20,11,a
24,20,13,a
24,20,13,a
25,20,12,a
24,20,12,a
24,19,12,a
24,19,12,a
24,20,12,a
24,20,12,a
24,19,11,a
24,19,12,a
24,19,13,a
24,20,13,a
24,20,12,a
24,19,12,a
24,19,12,a
24,19,12,a
24,19,12,a
24,19,11,a
24,19,11,a
24,19,10,a
24,19,11,a
24,19,11,a
24,19,9,a
23,19,11,a
23,19,10,a
23,18,10,a
23,19,10,a
23,19,10,a
23,19,10,a
23,19,10,a
